2020/01/31 22:58:46 [emerg] 6684#6688: directive "error_page" is not terminated by ";" in E:\2020backend\nginxUpsteramGroup\nginx3/conf/nginx.conf:58
2020/01/31 22:59:39 [emerg] 7240#7244: directive "error_page" is not terminated by ";" in E:\2020backend\nginxUpsteramGroup\nginx3/conf/nginx.conf:58
2020/01/31 23:00:12 [notice] 7332#7336: signal process started
2020/01/31 23:00:12 [error] 7332#7336: CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/logs/nginx.pid" failed (2: The system cannot find the file specified)
2020/01/31 23:12:40 [error] 7352#7716: *37 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy/"
2020/01/31 23:12:41 [error] 7352#7716: *38 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy/"
2020/01/31 23:12:42 [error] 7352#7716: *39 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy/"
2020/01/31 23:12:44 [error] 7352#7716: *40 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy/"
2020/01/31 23:13:37 [error] 7352#7716: *51 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy/"
2020/01/31 23:13:38 [error] 7352#7716: *52 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy/"
2020/01/31 23:13:40 [error] 7352#7716: *53 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy/"
2020/01/31 23:13:41 [error] 7352#7716: *54 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy/"
2020/01/31 23:14:37 [error] 7352#7716: *55 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy/"
2020/01/31 23:14:38 [error] 7352#7716: *56 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy/"
2020/01/31 23:14:39 [error] 7352#7716: *57 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy/"
2020/01/31 23:14:40 [error] 7352#7716: *58 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy/"
2020/01/31 23:14:40 [error] 7352#7716: *59 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy/"
2020/01/31 23:18:24 [error] 7352#7716: *69 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy2/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy2/"
2020/01/31 23:18:25 [error] 7352#7716: *71 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy2/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy2/"
2020/01/31 23:18:25 [error] 7352#7716: *73 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy2/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy2/"
2020/01/31 23:18:26 [error] 7352#7716: *75 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy2/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy2/"
2020/01/31 23:18:26 [error] 7352#7716: *77 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy2/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy2/"
2020/01/31 23:18:26 [error] 7352#7716: *79 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy2/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy2/"
2020/01/31 23:18:27 [error] 7352#7716: *81 CreateFile() "E:\2020backend\nginxUpsteramGroup\nginx3/dlib//myindex.css" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /proxy2/myindex.css HTTP/1.0", host: "127.0.0.1", referrer: "http://127.0.0.1:8080/proxy2/"
2020/01/31 23:21:08 [notice] 6468#4776: signal process started
